number,name,pokedex
301,Delcatty,"DELCATTY prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this POKéMON eats and sleeps whenever it decides, its daily routines are completely random."
302,Sableye,"SABLEYE lead quiet lives deep inside caverns. They are feared, however, because these POKéMON are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness."
303,Mawile,"MAWILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, MAWILE chomps it with its gaping jaws."
304,Aron,"This POKéMON has a body of steel. To make its body, ARON feeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails."
305,Lairon,LAIRON tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This POKéMON makes its nest close to springs of delicious water.
306,Aggron,AGGRON claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This POKéMON vigilantly patrols its territory at all times.
307,Meditite,"MEDITITE undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this POKéMON always loses its concentration and focus. As a result, its training never ends."
308,Medicham,"It is said that through meditation, MEDICHAM heightens energy inside its body and sharpens its sixth sense. This POKéMON hides its presence by merging itself with fields and mountains."
309,Electrike,ELECTRIKE stores electricity in its long body hair. This POKéMON stimulates its leg muscles with electric charges. These jolts of power give its legs explosive acceleration performance.
310,Manectric,"MANECTRIC is constantly discharging electricity from its mane. The sparks sometimes ignite forest fires. When it enters a battle, this POKéMON creates thunderclouds."
311,Plusle,"PLUSLE always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this POKéMON shorts out its body to create the crackling noises of sparks to show its joy."
312,Minun,MINUN is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.
313,Volbeat,"With the arrival of night, VOLBEAT emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This POKéMON is attracted by the sweet aroma of ILLUMISE."
314,Illumise,"ILLUMISE attracts a swarm of VOLBEAT using a sweet fragrance. Once the VOLBEAT have gathered, this POKéMON leads the lit-up swarm in drawing geometric designs on the canvas of the night sky."
315,Roselia,ROSELIA shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this POKéMON brings serenity to living things.
316,Gulpin,"Virtually all of GULPIN’s body is its stomach. As a result, it can swallow something its own size. This POKéMON’s stomach contains a special fluid that digests anything."
317,Swalot,"When SWALOT spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this POKéMON gulps it down whole with its cavernous mouth."
318,Carvanha,CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this POKéMON.
319,Sharpedo,"Nicknamed “the bully of the sea,” SHARPEDO is widely feared. Its cruel fangs grow back immediately if they snap off. Just one of these POKéMON can thoroughly tear apart a supertanker."
320,Wailmer,WAILMER’s nostrils are located above its eyes. This playful POKéMON loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils.
321,Wailord,"WAILORD is the largest of all identified POKéMON up to now. This giant POKéMON swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth."
322,Numel,"NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second. This POKéMON’s body is a seething cauldron of boiling magma."
323,Camerupt,"CAMERUPT has a volcano inside its body. Magma of 18,000 degrees F courses through its body. Occasionally, the humps on this POKéMON’s back erupt, spewing the superheated magma."
324,Torkoal,"TORKOAL digs through mountains in search of coal. If it finds some, it fills hollow spaces on its shell with the coal and burns it. If it is attacked, this POKéMON spouts thick black smoke to beat a retreat."
325,Spoink,"SPOINK bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this POKéMON cannot afford to stop bouncing - if it stops, its heart will stop."
326,Grumpig,"GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this POKéMON uses its special power, its snorting breath grows labored."
327,Spinda,"All the SPINDA that exist in the world are said to have utterly unique spot patterns. The shaky, tottering steps of this POKéMON give it the appearance of dancing."
328,Trapinch,"TRAPINCH’s nest is a sloped, bowl-like pit dug in sand. This POKéMON patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders."
329,Vibrava,"To make prey faint, VIBRAVA generates ultrasonic waves by vigorously making its two wings vibrate. This POKéMON’s ultrasonic waves are so powerful, they can bring on headaches in people."
330,Flygon,"FLYGON is nicknamed “the elemental spirit of the desert.” Because its flapping wings whip up a cloud of sand, this POKéMON is always enveloped in a sandstorm while flying."
331,Cacnea,"CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this POKéMON shoots sharp thorns from its body to bring the victim down."
332,Cacturne,"During the daytime, CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun. This POKéMON becomes active at night when the temperature drops."
333,Swablu,SWABLU has light and fluffy wings that are like cottony clouds. This POKéMON is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat.
334,Altaria,"ALTARIA dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this POKéMON makes its listeners experience dreamy wonderment."
335,Zangoose,Memories of battling its arch-rival SEVIPER are etched into every cell of ZANGOOSE’s body. This POKéMON adroitly dodges attacks with incredible agility.
336,Seviper,SEVIPER shares a generations-long feud with ZANGOOSE. The scars on its body are evidence of vicious battles. This POKéMON attacks using its sword-edged tail.
337,Lunatone,"LUNATONE was discovered at a location where a meteorite fell. As a result, some people theorize that this POKéMON came from space. However, no one has been able to prove this theory so far."
338,Solrock,"SOLROCK is a new species of POKéMON that is said to have fallen from space. It floats in air and moves silently. In battle, this POKéMON releases intensely bright light."
339,Barboach,"BARBOACH’s sensitive whiskers serve as a superb radar system. This POKéMON hides in mud, leaving only its two whiskers exposed while it waits for prey to come along."
340,Whiscash,"WHISCASH is extremely territorial. Just one of these POKéMON will claim a large pond as its exclusive territory. If a foe approaches it, it thrashes about and triggers a massive earthquake."
341,Corphish,CORPHISH were originally foreign POKéMON that were imported as pets. They eventually turned up in the wild. This POKéMON is very hardy and has greatly increased its population.
342,Crawdaunt,"CRAWDAUNT has an extremely violent nature that compels it to challenge other living things to battle. Other life-forms refuse to live in ponds inhabited by this POKéMON, making them desolate places."
343,Baltoy,BALTOY moves while spinning around on its one foot. Primitive wall paintings depicting this POKéMON living among people were discovered in some ancient ruins.
344,Claydol,CLAYDOL are said to be dolls of mud made by primitive humans and brought to life by exposure to a mysterious ray. This POKéMON moves about while levitating.
345,Lileep,LILEEP became extinct approximately a hundred million years ago. This ancient POKéMON attaches itself to a rock on the seafloor and catches approaching prey using tentacles shaped like flower petals.
346,Cradily,CRADILY roams around the ocean floor in search of food. This POKéMON freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles.
347,Anorith,ANORITH was regenerated from a prehistoric fossil. This primitive POKéMON once lived in warm seas. It grips its prey firmly between its two large claws.
348,Armaldo,ARMALDO’s tough armor makes all attacks bounce off. This POKéMON’s two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab.
349,Feebas,"FEEBAS’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance, this POKéMON is largely ignored. It is capable of living in both the sea and in rivers."
350,Milotic,MILOTIC is said to be the most beautiful of all the POKéMON. It has the power to becalm such emotions as anger and hostility to quell bitter feuding.
351,Castform,CASTFORM’s appearance changes with the weather. This POKéMON gained the ability to use the vast power of nature to protect its tiny body.
352,Kecleon,KECLEON is capable of changing its body colors at will to blend in with its surroundings. There is one exception - this POKéMON can’t change the zigzag pattern on its belly.
353,Shuppet,"SHUPPET is attracted by feelings of jealousy and vindictiveness. If someone develops strong feelings of vengeance, this POKéMON will appear in a swarm and line up beneath the eaves of that person’s home."
354,Banette,BANETTE generates energy for laying strong curses by sticking pins into its own body. This POKéMON was originally a pitiful plush doll that was thrown away.
355,Duskull,"DUSKULL can pass through any wall no matter how thick it may be. Once this POKéMON chooses a target, it will doggedly pursue the intended victim until the break of dawn."
356,Dusclops,"DUSCLOPS’s body is completely hollow - there is nothing at all inside. It is said that its body is like a black hole. This POKéMON will absorb anything into its body, but nothing will ever come back out."
357,Tropius,"The bunches of fruit around TROPIUS’s neck are very popular with children. This POKéMON loves fruit, and eats it continuously. Apparently, its love for fruit resulted in its own outgrowth of fruit."
358,Chimecho,"CHIMECHO makes its cries echo inside its hollow body. When this POKéMON becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying."
359,Absol,"Every time ABSOL appears before people, it is followed by a disaster such as an earthquake or a tidal wave. As a result, it came to be known as the disaster POKéMON."
360,Wynaut,"WYNAUT can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry. When angered, this POKéMON will be slapping the ground with its tail."
361,Snorunt,"SNORUNT live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this POKéMON steals away to live quietly among stalactites and stalagmites deep in caverns."
362,Glalie,"GLALIE has a body made of rock, which it hardens with an armor of ice. This POKéMON has the ability to freeze moisture in the atmosphere into any shape it desires."
363,Spheal,"SPHEAL is much faster rolling than walking to get around. When groups of this POKéMON eat, they all clap at once to show their pleasure. Because of this, their mealtimes are noisy."
364,Sealeo,SEALEO has the habit of always juggling on the tip of its nose anything it sees for the first time. This POKéMON occasionally entertains itself by balancing and rolling a SPHEAL on its nose.
365,Walrein,WALREIN’s two massively developed tusks can totally shatter blocks of ice weighing ten tons with one blow. This POKéMON’s thick coat of blubber insulates it from subzero temperatures.
366,Clamperl,CLAMPERL’s sturdy shell is not only good for protection - it is also used for clamping and catching prey. A fully grown CLAMPERL’s shell will be scored with nicks and scratches all over.
367,Huntail,HUNTAIL’s presence went unnoticed by people for a long time because it lives at extreme depths in the sea. This POKéMON’s eyes can see clearly even in the murky dark depths of the ocean.
368,Gorebyss,"GOREBYSS lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure of water at incredible depths. Because of this, this POKéMON’s body is unharmed by ordinary attacks."
369,Relicanth,RELICANTH is a POKéMON species that existed for a hundred million years without ever changing its form. This ancient POKéMON feeds on microscopic organisms with its toothless mouth.
370,Luvdisc,LUVDISC live in shallow seas in the tropics. This heart-shaped POKéMON earned its name by swimming after loving couples it spotted in the ocean’s waves.
371,Bagon,"BAGON has a dream of one day soaring in the sky. In doomed efforts to fly, this POKéMON hurls itself off cliffs. As a result of its dives, its head has grown tough and as hard as tempered steel."
372,Shelgon,"Inside SHELGON’s armor-like shell, cells are in the midst of transformation to create an entirely new body. This POKéMON’s shell is extremely heavy, making its movements sluggish."
373,Salamence,"SALAMENCE came about as a result of a strong, long-held dream of growing wings. It is said that this powerful desire triggered a sudden mutation in this POKéMON’s cells, causing it to sprout its magnificent wings."
374,Beldum,"Instead of blood, a powerful magnetic force courses throughout BELDUM’s body. This POKéMON communicates with others by sending controlled pulses of magnetism."
375,Metang,"When two BELDUM fuse together, METANG is formed. The brains of the BELDUM are joined by a magnetic nervous system. By linking its brains magnetically, this POKéMON generates strong psychokinetic power."
376,Metagross,"METAGROSS has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This POKéMON can float in the air by tucking in its four legs."
377,Regirock,"REGIROCK was sealed away by people long ago. If this POKéMON’s body is damaged in battle, it is said to seek out suitable rocks on its own to repair itself."
378,Regice,"REGICE’s body was made during an ice age. The deep-frozen body can’t be melted, even by fire. This POKéMON controls frigid air of minus 328 degrees F."
379,Registeel,REGISTEEL has a body that is harder than any kind of metal. Its body is apparently hollow. No one has any idea what this POKéMON eats.
380,Latias,"LATIAS is highly sensitive to the emotions of people. If it senses any hostility, this POKéMON ruffles the feathers all over its body and cries shrilly to intimidate the foe."
381,Latios,LATIOS has the ability to make its foe see an image of what it has seen or imagines in its head. This POKéMON is intelligent and understands human speech.
382,Kyogre,KYOGRE has the power to create massive rain clouds that cover the entire sky and bring about torrential downpours. This POKéMON saved people who were suffering from droughts.
383,Groudon,GROUDON has long been described in mythology as the POKéMON that raised lands and expanded continents. This POKéMON took to sleep after a cataclysmic battle with KYOGRE.
384,Rayquaza,"RAYQUAZA lived for hundreds of millions of years in the earth’s ozone layer, never descending to the ground. This POKéMON appears to feed on water and particles in the atmosphere."
385,Jirachi,"A legend states that JIRACHI will make true any wish that is written on notes attached to its head when it awakens. If this POKéMON senses danger, it will fight without awakening."
386,Deoxys,The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in DEOXYS. The crystalline organ on this POKéMON’s chest appears to be its brain.
387,Turtwig,"Made from soil, the shell on its back hardens when it drinks water. It lives along lakes."
388,Grotle,"It lives along water in forests. In the daytime, it leaves the forest to sunbathe its treed shell."
389,Torterra,Small Pokémon occasionally gather on its unmoving back to begin building their nests.
390,Chimchar,It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.
391,Monferno,"To intimidate attackers, it stretches the fire on its tail to make itself appear bigger."
392,Infernape,It uses a special kind of martial arts involving all its limbs. Its fire never goes out.
393,Piplup,"Because it is very proud, it hates accepting food from people. Its thick down guards it from cold."
394,Prinplup,"It lives alone, away from others. Apparently, every one of them believes it is the most important."
395,Empoleon,The three horns that extend from its beak attest to its power. The leader has the biggest horns.
396,Starly,"They flock in great numbers. Though small, they flap their wings with great power."
397,Staravia,It flies around forests and fields in search of bug Pokémon. It stays within a huge flock.
398,Staraptor,It has a savage nature. It will courageously challenge foes that are much larger.
399,Bidoof,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears."
400,Bibarel,It makes its nest by damming streams with bark and mud. It is known as an industrious worker.
401,Kricketot,"It shakes its head back to front, causing its antennae to hit each other and sound like a xylophone."
402,Kricketune,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.
403,Shinx,All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.
404,Luxio,Its claws loose electricity with enough amperage to cause fainting. They live in small groups.
405,Luxray,It has eyes that can see through anything. It spots and captures prey hiding behind objects.
406,Budew,"Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen."
407,Roserade,"It attracts prey with a sweet aroma, then downs it with thorny whips hidden in its arms."
408,Cranidos,It lived in jungles around 100 million years ago. Its skull is as hard as iron.
409,Rampardos,Its powerful head butt has enough power to shatter even the most durable things upon impact.
410,Shieldon,A Pokémon that lived in jungles around 100 million years ago. Its facial hide is extremely hard.
411,Bastiodon,Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.
412,Burmy,"To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves."
413,Wormadam,"When BURMY evolved, its cloak became a part of this Pokémon’s body. The cloak is never shed."
414,Mothim,It loves the honey of flowers and steals honey collected by COMBEE.
415,Combee,A Pokémon formed by three others. It busily carries sweet floral honey to VESPIQUEN.
416,Vespiquen,Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by COMBEE.
417,Pachirisu,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.
418,Buizel,It has a flotation sac that is like an inflatable collar. It floats on water with its head out.
419,Floatzel,It floats using its well-developed flotation sac. It assists in the rescues of drowning people.
420,Cherubi,"The small ball holds the nutrients needed for evolution. Apparently, it is very sweet and tasty."
421,Cherrim,It blooms during times of strong sunlight. It tries to make up for everything it endured as a bud.
422,Shellos,"Its colors and shapes differ from region to region. In the Sinnoh region, two types are confirmed."
423,Gastrodon,"It has a pliable body without any bones. If any part of its body is torn off, it grows right back."
424,Ambipom,"To eat, it deftly shucks nuts with its two tails. It rarely uses its arms now."
425,Drifloon,"A Pokémon formed by the spirits of people and Pokémon. It loves damp, humid seasons."
426,Drifblim,"It’s drowzy in daytime, but flies off in the evening in big groups. No one knows where they go."
427,Buneary,It slams foes by sharply uncoiling its rolled ears. It stings enough to make a grown-up cry in pain.
428,Lopunny,An extremely cautious Pokémon. It cloaks its body with its fluffy ear fur when it senses danger.
429,Mismagius,Its cries sound like incantations. Those hearing it are tormented by headaches and hallucinations.
430,Honchkrow,"Becoming active at night, it is known to swarm with numerous MURKROW in tow."
431,Glameow,It claws if displeased and purrs when affectionate. Its fickleness is very popular among some.
432,Purugly,It is a brazen brute that barges its way into another Pokémon’s nest and claims it as its own.
433,Chingling,It emits cries by agitating an orb at the back of its throat. It moves with flouncing hops.
434,Stunky,It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.
435,Skuntank,It sprays a vile-smelling fluid from the tip of its tail to attack. Its range is over 160 feet.
436,Bronzor,Implements shaped like it were discovered in ancient tombs. It is unknown if they are related.
437,Bronzong,"One caused a news sensation when it was dug up at a construction site after a 2,000-year sleep."
438,Bonsly,It looks as if it is always crying. It is actually adjusting its body’s fluid levels by eliminating excess.
439,Mime Jr.,"It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon."
440,Happiny,It loves round white things. It carries an egg-shaped rock in imitation of CHANSEY.
441,Chatot,"It can learn and speak human words. If they gather, they all learn the same saying."
442,Spiritomb,A Pokémon that was formed by 108 spirits. It is bound to a fissure in an odd keystone.
443,Gible,"It nests in small, horizontal holes in cave walls. It pounces to catch prey that stray too close."
444,Gabite,There is a long-held belief that medicine made from its scales will heal even incurable illnesses.
445,Garchomp,"When it folds up its body and extends its wings, it looks like a jet plane. It flies at sonic speed."
446,Munchlax,"It wolfs down its weight in food once a day, swallowing food whole with almost no chewing."
447,Riolu,The aura that emanates from its body intensifies to alert others if it is afraid or sad.
448,Lucario,It has the ability to sense the auras of all things. It understands human speech.
449,Hippopotas,"It lives in arid places. Instead of perspiration, it expels grainy sand from its body."
450,Hippowdon,It blasts internally stored sand from ports on its body to create a towering twister for attack.
451,Skorupi,It grips prey with its tail claws and injects poison. It tenaciously hangs on until the poison takes.
452,Drapion,It has the power in its clawed arms to make scrap of a car. The tips of its claws release poison.
453,Croagunk,Its cheeks hold poison sacs. It tries to catch foes off guard to jab them with toxic fingers.
454,Toxicroak,Its knuckle claws secrete a toxin so vile that even a scratch could prove fatal.
455,Carnivine,"It attracts prey with its sweet-smelling saliva, then chomps down. It takes a whole day to eat prey."
456,Finneon,"After long exposure to sunlight, the patterns on its tail fins shine vividly when darkness arrives."
457,Lumineon,It lives on the deep-sea floor. It attracts prey by flashing the patterns on its four tail fins.
458,Mantyke,A friendly Pokémon that captures the subtle flows of seawater using its two antennae.
459,Snover,"It lives on snowy mountains. Having had little contact with humans, it is boldly inquisitive."
460,Abomasnow,It whips up blizzards in mountains that are always buried in snow. It is the abominable snowman.
461,Weavile,"They live in cold regions, forming groups of four or five that hunt prey with impressive coordination."
462,Magnezone,It evolved from exposure to a special magnetic field. Three units generate magnetism.
463,Lickilicky,It wraps things with its extensible tongue. Getting too close to it will leave you soaked with drool.
464,Rhyperior,It puts rocks in holes in its palms and uses its muscles to shoot them. GEODUDE are shot at rare times.
465,Tangrowth,It ensnares prey by extending arms made of vines. Losing arms to predators does not trouble it.
466,Electivire,"It pushes the tips of its two tails against the foe, then lets loose with over 20,000 volts of power."
467,Magmortar,"It blasts fireballs of over 3,600 degrees F from the ends of its arms. It lives in volcanic craters."
468,Togekiss,It will never appear where there is strife. Its sightings have become rare recently.
469,Yanmega,"By churning its wings, it creates shock waves that inflict critical internal injuries to foes."
470,Leafeon,"Just like a plant, it uses photosynthesis. As a result, it is always enveloped in clear air."
471,Glaceon,"As a protective technique, it can completely freeze its fur to make its hairs stand like needles."
472,Gliscor,"It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!"
473,Mamoswine,Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.
474,Porygon-Z,"Additional software was installed to make it a better Pokémon. It began acting oddly, however."
475,Gallade,"A master of courtesy and swordsmanship, it fights using extending swords on its elbows."
476,Probopass,It exudes strong magnetism from all over. It controls three small units called Mini-Noses.
477,Dusknoir,The antenna on its head captures radio waves from the world of spirits that command it to take people there.
478,Froslass,It freezes foes with an icy breath nearly -60 degrees F. What seems to be its body is actually hollow.
479,Rotom,Its body is composed of plasma. It is known to infiltrate electronic devices and wreak havoc.
480,Uxie,Known as “The Being of Knowledge.” It is said that it can wipe out the memory of those who see its eyes.
481,Mesprit,"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy."
482,Azelf,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.
483,Dialga,It has the power to control time. It appears in Sinnoh-region myths as an ancient deity.
484,Palkia,It has the ability to distort space. It is described as a deity in Sinnoh-region mythology.
485,Heatran,It dwells in volcanic caves. It digs in with its cross-shaped feet to crawl on ceilings and walls.
486,Regigigas,There is an enduring legend that states this Pokémon towed continents with ropes.
487,Giratina,A Pokémon that is said to live in a world on the reverse side of ours. It appears in an ancient cemetery.
488,Cresselia,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.
489,Phione,A Pokémon that lives in warm seas. It inflates the flotation sac on its head to drift and search for food.
490,Manaphy,"Born on a cold seafloor, it will swim great distances to return to its birthplace."
491,Darkrai,It can lull people to sleep and make them dream. It is active during nights of the new moon.
492,Shaymin,It lives in flower patches and avoids detection by curling up to look like a flowering plant.
493,Arceus,"It is described in mythology as the Pokémon that shaped the universe with its 1,000 arms."
494,Victini,"This Pokémon brings victory. It is said that Trainers with Victini always win, regardless of the type of encounter."
495,Snivy,It is very intelligent and calm. Being exposed to lots of sunlight makes its movements swifter.
496,Servine,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip."
497,Serperior,It can stop its opponents’ movements with just a glare. It takes in solar energy and boosts it internally.
498,Tepig,It can deftly dodge its foe’s attacks while shooting fireballs from its nose. It roasts berries before it eats them.
499,Pignite,"When its internal fire flares up, its movements grow sharper and faster. When in trouble, it emits smoke."
500,Emboar,It can throw a fire punch by setting its fists on fire with its fiery chin. It cares deeply about its friends.
501,Oshawott,"It fights using the scalchop on its stomach. In response to an attack, it retaliates immediately by slashing."
502,Dewott,Strict training is how it learns its flowing double-scalchop technique.
503,Samurott,One swing of the sword incorporated in its armor can fell an opponent. A simple glare from one of them quiets everybody.
504,Patrat,"Using food stored in cheek pouches, they can keep watch for days. They use their tails to communicate with others."
505,Watchog,"When they see an enemy, their tails stand high, and they spit the seeds of berries stored in their cheek pouches."
506,Lillipup,"It faces strong opponents with great courage. But, when at a disadvantage in a fight, this intelligent Pokémon flees."
507,Herdier,"It has black, cape-like fur that is very hard and decreases the amount of damage it receives."
508,Stoutland,It rescues people stranded by blizzards in the mountains. Its shaggy fur shields it from the cold.
509,Purrloin,"They steal from people for fun, but their victims can’t help but forgive them. Their deceptively cute act is perfect."
510,Liepard,These Pokémon vanish and appear unexpectedly. Many Trainers are drawn to their beautiful form and fur.
511,Pansage,This Pokémon dwells deep in the forest. Eating a leaf from its head whisks weariness away as if by magic.
512,Simisage,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter."
513,Pansear,"When it is angered, the temperature of its head tuft reaches 600° F. It uses its tuft to roast berries."
514,Simisear,It loves sweets because they become energy for the fire burning inside its body.
515,Panpour,The water stored inside the tuft on its head is full of nutrients. Plants that receive its water grow large.
516,Simipour,"The tuft on its head holds water. When the level runs low, it replenishes the tuft by siphoning up water with its tail."
517,Munna,Munna always float in the air. People whose dreams are eaten by them forget what the dreams had been about.
518,Musharna,The mist emanating from their foreheads is packed with the dreams of people and Pokémon.
519,Pidove,"Each follows its Trainer’s orders as best it can, but they sometimes fail to understand complicated commands."
520,Tranquill,It can return to its Trainer’s location regardless of the distance separating them.
521,Unfezant,Males swing their head plumage to threaten opponents. The females’ flying abilities surpass those of the males.
522,Blitzle,Its mane shines when it discharges electricity. They use their flashing manes to communicate with one another.
523,Zebstrika,"They have lightning-like movements. When Zebstrika run at full speed, the sound of thunder reverberates."
524,Roggenrola,"Its ear is hexagonal in shape. Compressed underground, its body is as hard as steel."
525,Boldore,"When it overflows with power, the orange crystal on its body glows. It looks for underground water in caves."
526,Gigalith,Compressing the energy from its internal core lets it fire off an attack capable of blowing away a mountain.
527,Woobat,Its habitat is dark forests and caves. It emits ultrasonic waves from its nose to learn about its surroundings.
528,Swoobat,"It emits sound waves of various frequencies from its nose, including some powerful enough to destroy rocks."
529,Drilbur,It can dig through the ground at a speed of 30 mph. It could give a car running aboveground a good race.
530,Excadrill,It can help in tunnel construction. Its drill has evolved into steel strong enough to bore through iron plates.
531,Audino,"It touches others with the feelers on its ears, using the sound of their heartbeats to tell how they are feeling."
532,Timburr,It fights by swinging a piece of lumber around. It is close to evolving when it can handle the lumber without difficulty.
533,Gurdurr,This Pokémon is so muscular and strongly built that even a group of wrestlers could not make it budge an inch.
534,Conkeldurr,"It is thought that Conkeldurr taught humans how to make concrete more than 2,000 years ago."
535,Tympole,They warn others of danger by vibrating their cheeks to create a high-pitched sound.
536,Palpitoad,"When they vibrate the bumps on their heads, they can make waves in water or earthquake-like vibrations on land."
537,Seismitoad,They shoot paralyzing liquid from their head bumps. They use vibration to hurt their opponents.
538,Throh,"When it tightens its belt, it becomes stronger. Wild Throh use vines to weave their own belts."
539,Sawk,The sound of Sawk punching boulders and trees can be heard all the way from the mountains where they train.
540,Sewaddle,Leavanny dress it in clothes they made for it when it hatched. It hides its head in its hood while it is sleeping.
541,Swadloon,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.
542,Leavanny,"Upon finding a small Pokémon, it weaves clothing for it from leaves, using the cutters on its arms and sticky silk."
543,Venipede,"Its bite injects a potent poison, enough to paralyze large bird Pokémon that try to prey on it."
544,Whirlipede,"Protected by a hard shell, it spins its body like a wheel and crashes furiously into its enemies."
545,Scolipede,"With quick movements, it chases down its foes, attacking relentlessly with its horns until it prevails."
546,Cottonee,"When attacked, it escapes by shooting cotton from its body. The cotton serves as a decoy to distract the attacker."
547,Whimsicott,"Like the wind, it can slip through any gap, no matter how small. It leaves balls of white fluff behind."
548,Petilil,The leaves on its head are very bitter. Eating one of these leaves is known to refresh a tired body.
549,Lilligant,Even veteran Trainers face a challenge in getting its beautiful flower to bloom. This Pokémon is popular with celebrities.
550,Basculin,"Red and blue Basculin get along so poorly, they’ll start fighting instantly. These Pokémon are very hostile."
551,Sandile,They live buried in the sands of the desert. The sun-warmed sands prevent their body temperature from dropping.
552,Krokorok,They live in groups of a few individuals. Protective membranes shield their eyes from sandstorms.
553,Krookodile,"They never allow prey to escape. Their jaws are so powerful, they can crush the body of an automobile."
554,Darumaka,"When its internal fire is burning, it cannot calm down and it runs around. When the fire diminishes, it falls asleep."
555,Darmanitan,"Its internal fire burns at 2,500° F, making enough power that it can destroy a dump truck with one punch."
556,Maractus,It uses an up-tempo song and dance to drive away the bird Pokémon that prey on its flower seeds.
557,Dwebble,This Pokémon can easily melt holes in hard rocks with a liquid secreted from its mouth.
558,Crustle,"Competing for territory, Crustle fight viciously. The one whose boulder is broken is the loser of the battle."
559,Scraggy,"Its skin has a rubbery elasticity, so it can reduce damage by defensively pulling its skin up to its neck."
560,Scrafty,Groups of them beat up anything that enters their territory. Each can spit acidic liquid from its mouth.
561,Sigilyph,"They never vary the route they fly, because their memories of guarding an ancient city remain steadfast."
562,Yamask,Each of them carries a mask that used to be its face when it was human. Sometimes they look at it and cry.
563,Cofagrigus,It has been said that they swallow those who get too close and turn them into mummies. They like to eat gold nuggets.
564,Tirtouga,"Restored from a fossil, this Pokémon can dive to depths beyond half a mile."
565,Carracosta,They can live both in the ocean and on land. A slap from one of them is enough to open a hole in the bottom of a tanker.
566,Archen,"Said to be an ancestor of bird Pokémon, they were unable to fly and moved about by hopping from one branch to another."
567,Archeops,"They are intelligent and will cooperate to catch prey. From the ground, they use a running start to take flight."
568,Trubbish,Inhaling the gas they belch will make you sleep for a week. They prefer unsanitary places.
569,Garbodor,It clenches opponents with its left arm and finishes them off with foul-smelling poison gas belched from its mouth.
570,Zorua,"It changes into the forms of others to surprise them. Apparently, it often transforms into a silent child."
571,Zoroark,Bonds between these Pokémon are very strong. It protects the safety of its pack by tricking its opponents.
